add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,seed,device,cov_value,PINAW_value
50,0.001,0.0002,0.001,6,cuda:2,0.55340,0.46650
50,0.001,0.0002,0.001,6,cuda:2,0.09709,0.07147
50,0.001,0.0002,0.001,7,cuda:3,0.86408,1.05937
50,0.001,0.0002,0.001,7,cuda:3,0.44660,0.34479
50,0.001,0.0002,0.001,7,cuda:3,0.04854,0.04776
50,0.001,0.0002,0.001,8,cuda:0,0.95146,1.39973
50,0.001,0.0002,0.001,8,cuda:0,0.52427,0.38258
50,0.001,0.0002,0.001,8,cuda:0,0.19417,0.08646
50,0.001,0.0002,0.001,9,cuda:1,0.94175,1.37064
50,0.001,0.0002,0.001,9,cuda:1,0.47573,0.47470
50,0.001,0.0002,0.001,9,cuda:1,0.12621,0.05220
50,0.001,0.0002,0.0001,0,cuda:2,0.95146,1.30546
50,0.001,0.0002,0.0001,0,cuda:2,0.65049,0.50610
50,0.001,0.0002,0.0001,0,cuda:2,0.11650,0.03986
50,0.001,0.0002,0.0001,1,cuda:3,0.91262,1.27805
50,0.001,0.0002,0.0001,1,cuda:3,0.53398,0.45656
50,0.001,0.0002,0.0001,1,cuda:3,0.11650,0.07750
50,0.001,0.0002,0.0001,2,cuda:0,0.97087,1.32666
50,0.001,0.0002,0.0001,2,cuda:0,0.52427,0.37540
50,0.001,0.0002,0.0001,2,cuda:0,0.19417,0.06536
50,0.001,0.0002,0.0001,3,cuda:1,0.95146,1.32872
50,0.001,0.0002,0.0001,3,cuda:1,0.67961,0.48653
50,0.001,0.0002,0.0001,3,cuda:1,0.10680,0.06653
50,0.001,0.0002,0.0001,4,cuda:2,0.92233,1.34149
50,0.001,0.0002,0.0001,4,cuda:2,0.43689,0.30089
50,0.001,0.0002,0.0001,4,cuda:2,0.08738,0.04346
50,0.001,0.0002,0.0001,5,cuda:3,0.89320,1.16890
50,0.001,0.0002,0.0001,5,cuda:3,0.50485,0.36044
50,0.001,0.0002,0.0001,5,cuda:3,0.07767,0.03564
50,0.001,0.0002,0.0001,6,cuda:0,0.94175,1.37487
50,0.001,0.0002,0.0001,6,cuda:0,0.58252,0.40621
50,0.001,0.0002,0.0001,6,cuda:0,0.19417,0.06893
50,0.001,0.0002,0.0001,7,cuda:1,0.89320,1.04411
50,0.001,0.0002,0.0001,7,cuda:1,0.39806,0.33385
50,0.001,0.0002,0.0001,7,cuda:1,0.07767,0.04261
50,0.001,0.0002,0.0001,8,cuda:2,0.94175,1.36762
50,0.001,0.0002,0.0001,8,cuda:2,0.64078,0.42634
50,0.001,0.0002,0.0001,8,cuda:2,0.19417,0.06260
50,0.001,0.0002,0.0001,9,cuda:3,0.93204,1.31136
50,0.001,0.0002,0.0001,9,cuda:3,0.54369,0.43292
50,0.001,0.0002,0.0001,9,cuda:3,0.09709,0.04651
50,0.001,0.001,0.01,0,cuda:0,0.93204,1.26818
50,0.001,0.001,0.01,0,cuda:0,0.64078,0.55556
50,0.001,0.001,0.01,0,cuda:0,0.17476,0.09228
50,0.001,0.001,0.01,1,cuda:1,0.89320,1.28191
50,0.001,0.001,0.01,1,cuda:1,0.48544,0.39499
50,0.001,0.001,0.01,1,cuda:1,0.13592,0.08382
50,0.001,0.001,0.01,2,cuda:2,0.92233,1.16926
50,0.001,0.001,0.01,2,cuda:2,0.43689,0.42529
50,0.001,0.001,0.01,2,cuda:2,0.11650,0.06720
50,0.001,0.001,0.01,3,cuda:3,0.97087,1.52884
50,0.001,0.001,0.01,3,cuda:3,0.60194,0.43780
50,0.001,0.001,0.01,3,cuda:3,0.08738,0.04136
50,0.001,0.001,0.01,4,cuda:0,0.85437,1.27672
50,0.001,0.001,0.01,4,cuda:0,0.40777,0.38319
50,0.001,0.001,0.01,4,cuda:0,0.13592,0.06206
50,0.001,0.001,0.01,5,cuda:1,0.84466,1.14549
50,0.001,0.001,0.01,5,cuda:1,0.50485,0.42251
50,0.001,0.001,0.01,5,cuda:1,0.16505,0.08162
50,0.001,0.001,0.01,6,cuda:2,0.98058,1.46257
50,0.001,0.001,0.01,6,cuda:2,0.48544,0.41898
50,0.001,0.001,0.01,6,cuda:2,0.09709,0.06157
50,0.001,0.001,0.01,7,cuda:3,0.88350,1.14079
50,0.001,0.001,0.01,7,cuda:3,0.48544,0.37375
50,0.001,0.001,0.01,7,cuda:3,0.11650,0.07090
50,0.001,0.001,0.01,8,cuda:0,0.91262,1.10116
50,0.001,0.001,0.01,8,cuda:0,0.61165,0.53534
50,0.001,0.001,0.01,8,cuda:0,0.13592,0.06412
50,0.001,0.001,0.01,9,cuda:1,0.94175,1.47677
50,0.001,0.001,0.01,9,cuda:1,0.51456,0.44756
50,0.001,0.001,0.01,9,cuda:1,0.16505,0.06694
50,0.001,0.001,0.002,0,cuda:2,0.92233,1.21784
50,0.001,0.001,0.002,0,cuda:2,0.54369,0.42682
50,0.001,0.001,0.002,0,cuda:2,0.11650,0.05386
50,0.001,0.001,0.002,2,cuda:0,0.93204,1.20368
50,0.001,0.001,0.002,2,cuda:0,0.49515,0.46550
50,0.001,0.001,0.002,2,cuda:0,0.10680,0.06812
50,0.001,0.001,0.002,3,cuda:1,0.92233,1.22157
50,0.001,0.001,0.002,3,cuda:1,0.58252,0.37936
50,0.001,0.001,0.002,3,cuda:1,0.11650,0.06307
50,0.001,0.001,0.002,4,cuda:2,0.88350,1.28672
50,0.001,0.001,0.002,4,cuda:2,0.57282,0.45580
50,0.001,0.001,0.002,4,cuda:2,0.06796,0.02093
50,0.001,0.001,0.002,1,cuda:3,0.92233,1.36033
50,0.001,0.001,0.002,1,cuda:3,0.52427,0.44162
50,0.001,0.001,0.002,1,cuda:3,0.18447,0.08627
50,0.001,0.001,0.002,5,cuda:3,0.86408,1.10631
50,0.001,0.001,0.002,5,cuda:3,0.52427,0.44485
50,0.001,0.001,0.002,5,cuda:3,0.11650,0.05466
50,0.001,0.001,0.002,6,cuda:0,0.89320,1.20195
50,0.001,0.001,0.002,6,cuda:0,0.46602,0.32825
50,0.001,0.001,0.002,6,cuda:0,0.08738,0.04433
50,0.001,0.001,0.002,7,cuda:1,0.81553,0.99352
50,0.001,0.001,0.002,7,cuda:1,0.45631,0.43300
50,0.001,0.001,0.002,7,cuda:1,0.06796,0.06225
50,0.001,0.001,0.002,8,cuda:2,0.94175,1.33978
50,0.001,0.001,0.002,8,cuda:2,0.68932,0.55591
50,0.001,0.001,0.002,8,cuda:2,0.18447,0.07615
50,0.001,0.001,0.002,9,cuda:3,0.95146,1.33792
50,0.001,0.001,0.002,9,cuda:3,0.55340,0.42864
50,0.001,0.001,0.002,9,cuda:3,0.13592,0.06113
50,0.001,0.001,0.001,1,cuda:1,0.88350,1.14717
50,0.001,0.001,0.001,1,cuda:1,0.56311,0.44776
50,0.001,0.001,0.001,1,cuda:1,0.15534,0.08986
50,0.001,0.001,0.001,0,cuda:0,0.93204,1.24976
50,0.001,0.001,0.001,0,cuda:0,0.60194,0.45317
50,0.001,0.001,0.001,0,cuda:0,0.08738,0.05908
50,0.001,0.001,0.001,3,cuda:3,0.95146,1.20499
50,0.001,0.001,0.001,3,cuda:3,0.43689,0.30940
50,0.001,0.001,0.001,3,cuda:3,0.12621,0.05696
50,0.001,0.001,0.001,2,cuda:2,0.96117,1.17991
50,0.001,0.001,0.001,2,cuda:2,0.54369,0.38829
50,0.001,0.001,0.001,2,cuda:2,0.14563,0.03994
50,0.001,0.001,0.001,4,cuda:0,0.92233,1.26590
50,0.001,0.001,0.001,4,cuda:0,0.43689,0.38248
50,0.001,0.001,0.001,4,cuda:0,0.16505,0.06548
50,0.001,0.001,0.001,5,cuda:1,0.93204,1.21212
50,0.001,0.001,0.001,5,cuda:1,0.47573,0.42340
